treatment,replicate,step,creature_x,creature_y,score
play_greedily,7,9,8,0,1465
play_greedily,7,10,8,0,1460
play_greedily,7,11,8,1,1450
play_greedily,7,12,8,1,1445
play_greedily,7,13,7,1,1435
play_greedily,7,14,6,1,1425
play_greedily,7,15,6,1,1420
play_greedily,7,16,6,2,1510
play_greedily,7,17,6,2,1505
play_greedily,7,18,5,2,1545
play_greedily,7,19,4,2,1535
play_greedily,7,20,3,2,1575
play_greedily,7,21,2,2,1665
play_greedily,7,22,2,2,1660
play_greedily,7,23,2,3,1750
play_greedily,7,24,2,4,1740
play_greedily,7,25,2,5,1730
play_greedily,7,26,2,5,1725
play_greedily,7,27,3,5,1815
play_greedily,7,28,4,5,1805
play_greedily,7,29,5,5,1845
play_greedily,7,30,5,5,1840
play_greedily,7,31,5,4,1880
play_greedily,7,32,5,4,1875
play_greedily,7,33,6,4,1965
play_greedily,7,34,7,4,2005
play_greedily,7,35,8,4,2045
play_greedily,7,36,8,4,2040
play_greedily,7,37,8,5,2080
play_greedily,7,38,8,6,2170
play_greedily,7,39,8,7,2160
play_greedily,7,40,8,7,2155
play_greedily,7,41,7,7,2195
play_greedily,7,42,6,7,2185
play_greedily,7,43,5,7,2225
play_greedily,7,44,4,7,2215
play_greedily,7,45,4,7,2210
play_greedily,7,46,4,6,2250
play_greedily,7,47,4,5,2240
play_greedily,7,48,4,4,2230
play_greedily,7,49,4,3,2220
play_greedily,7,50,4,2,2210
play_greedily,7,51,4,1,2200
play_greedily,7,52,4,0,2190
play_greedily,7,53,4,0,2185
play_greedily,7,54,5,0,2175
play_greedily,7,55,6,0,2165
play_greedily,7,56,7,0,2155
play_greedily,7,57,8,0,2145
play_greedily,7,58,8,0,2140
play_greedily,7,59,8,1,2130
play_greedily,7,60,8,1,2125
play_greedily,7,61,7,1,2115
play_greedily,7,62,6,1,2105
play_greedily,7,63,5,1,2095
play_greedily,7,64,4,1,2085
play_greedily,7,65,3,1,2075
play_greedily,7,66,2,1,2065
play_greedily,7,67,1,1,2055
play_greedily,7,68,0,1,2045
play_greedily,7,69,0,1,2040
play_greedily,7,70,0,2,2080
play_greedily,7,71,0,3,2120
play_greedily,7,72,0,4,2160
play_greedily,7,73,0,4,2155
play_greedily,7,74,0,4,2150
play_greedily,7,75,0,3,2140
play_greedily,7,76,0,2,2130
play_greedily,7,77,0,1,2120
play_greedily,7,78,0,1,2115
play_greedily,7,79,1,1,2105
play_greedily,7,80,2,1,2095
play_greedily,7,81,3,1,2085
play_greedily,7,82,4,1,2075
play_greedily,7,83,5,1,2065
play_greedily,7,84,6,1,2055
play_greedily,7,85,7,1,2045
play_greedily,7,86,8,1,2035
play_greedily,7,87,8,1,2030
play_greedily,7,88,8,0,2020
play_greedily,7,89,8,0,2015
play_greedily,7,90,8,0,2010
play_greedily,7,91,8,1,2000
play_greedily,7,92,8,1,1995
play_greedily,7,93,7,1,1985
play_greedily,7,94,6,1,1975
play_greedily,7,95,5,1,1965
play_greedily,7,96,4,1,1955
play_greedily,7,97,3,1,1945
play_greedily,7,98,2,1,1935
play_greedily,7,99,1,1,1925
play_greedily,7,100,0,1,1915
play_greedily,8,0,4,4,1000
play_greedily,8,1,4,4,1095
play_greedily,8,2,3,4,1185
play_greedily,8,3,3,4,1180
play_greedily,8,4,3,5,1220
play_greedily,8,5,3,6,1310
play_greedily,8,6,3,7,1300
play_greedily,8,7,3,8,1390
play_greedily,8,8,3,8,1385
play_greedily,8,9,3,8,1380
play_greedily,8,10,3,7,1370
play_greedily,8,11,3,6,1360
play_greedily,8,12,3,5,1350
play_greedily,8,13,3,5,1345
play_greedily,8,14,4,5,1385
