Treatment_Function,Replicate_Num,Step_Num,X_Location,Y_Location,Score,Last_Move,Rewards_rem
play_greedily,6,49,0,0,1095,R,19
play_greedily,6,50,1,0,1085,F,19
play_greedily,6,51,2,0,1075,F,19
play_greedily,6,52,3,0,1065,F,19
play_greedily,6,53,4,0,1055,F,19
play_greedily,6,54,4,0,1050,R,19
play_greedily,6,55,4,0,1045,R,19
play_greedily,6,56,3,0,1035,F,19
play_greedily,6,57,2,0,1025,F,19
play_greedily,6,58,1,0,1015,F,19
play_greedily,6,59,0,0,1005,F,19
play_greedily,6,60,0,0,1000,R,19
play_greedily,6,61,0,0,995,R,19
play_greedily,6,62,1,0,985,F,19
play_greedily,6,63,2,0,975,F,19
play_greedily,6,64,3,0,965,F,19
play_greedily,6,65,4,0,955,F,19
play_greedily,6,66,4,0,950,R,19
play_greedily,6,67,4,0,945,R,19
play_greedily,6,68,3,0,935,F,19
play_greedily,6,69,2,0,925,F,19
play_greedily,6,70,1,0,915,F,19
play_greedily,6,71,0,0,905,F,19
play_greedily,6,72,0,0,900,R,19
play_greedily,6,73,0,0,895,R,19
play_greedily,6,74,1,0,885,F,19
play_greedily,6,75,2,0,875,F,19
play_greedily,6,76,3,0,865,F,19
play_greedily,6,77,4,0,855,F,19
play_greedily,6,78,4,0,850,R,19
play_greedily,6,79,4,0,845,R,19
play_greedily,6,80,3,0,835,F,19
play_greedily,6,81,2,0,825,F,19
play_greedily,6,82,1,0,815,F,19
play_greedily,6,83,0,0,805,F,19
play_greedily,6,84,0,0,800,R,19
play_greedily,6,85,0,0,795,R,19
play_greedily,6,86,1,0,785,F,19
play_greedily,6,87,2,0,775,F,19
play_greedily,6,88,3,0,765,F,19
play_greedily,6,89,4,0,755,F,19
play_greedily,6,90,4,0,750,R,19
play_greedily,6,91,4,0,745,R,19
play_greedily,6,92,3,0,735,F,19
play_greedily,6,93,2,0,725,F,19
play_greedily,6,94,1,0,715,F,19
play_greedily,6,95,0,0,705,F,19
play_greedily,6,96,0,0,700,R,19
play_greedily,6,97,0,0,695,R,19
play_greedily,6,98,1,0,685,F,19
play_greedily,6,99,2,0,675,F,19
play_greedily,6,100,3,0,665,F,19
play_greedily,7,1,4,4,995,L,25
play_greedily,7,2,3,4,1085,F,24
play_greedily,7,3,2,4,1125,F,23
play_greedily,7,4,2,4,1120,L,23
play_greedily,7,5,2,5,1210,F,22
play_greedily,7,6,2,5,1205,R,22
play_greedily,7,7,1,5,1195,F,22
play_greedily,7,8,0,5,1285,F,21
play_greedily,7,9,0,5,1280,L,21
play_greedily,7,10,0,6,1370,F,20
play_greedily,7,11,0,6,1365,L,20
play_greedily,7,12,1,6,1455,F,19
play_greedily,7,13,1,6,1450,L,19
play_greedily,7,14,1,5,1440,F,19
play_greedily,7,15,1,4,1480,F,18
play_greedily,7,16,1,3,1470,F,18
play_greedily,7,17,1,3,1465,R,18
play_greedily,7,18,1,3,1460,R,18
play_greedily,7,19,1,4,1450,F,18
play_greedily,7,20,1,5,1440,F,18
play_greedily,7,21,1,6,1430,F,18
play_greedily,7,22,1,6,1425,R,18
play_greedily,7,23,0,6,1415,F,18
play_greedily,7,24,0,6,1410,R,18
play_greedily,7,25,0,5,1400,F,18
play_greedily,7,26,0,5,1395,R,18
play_greedily,7,27,1,5,1385,F,18
play_greedily,7,28,2,5,1375,F,18
play_greedily,7,29,2,5,1370,L,18
play_greedily,7,30,2,4,1360,F,18
play_greedily,7,31,2,4,1355,R,18
play_greedily,7,32,3,4,1345,F,18
play_greedily,7,33,4,4,1335,F,18
play_greedily,7,34,4,4,1330,R,18
play_greedily,7,35,4,5,1320,F,18
play_greedily,7,36,4,6,1310,F,18
play_greedily,7,37,4,7,1300,F,18
play_greedily,7,38,4,8,1340,F,17
play_greedily,7,39,4,8,1335,R,17
play_greedily,7,40,3,8,1425,F,16
play_greedily,7,41,2,8,1415,F,16
play_greedily,7,42,1,8,1405,F,16
play_greedily,7,43,0,8,1495,F,15
play_greedily,7,44,0,8,1490,R,15
play_greedily,7,45,0,7,1480,F,15
play_greedily,7,46,0,6,1470,F,15
play_greedily,7,47,0,5,1460,F,15
play_greedily,7,48,0,5,1455,R,15
play_greedily,7,49,1,5,1445,F,15
play_greedily,7,50,2,5,1435,F,15
play_greedily,7,51,2,5,1430,L,15
play_greedily,7,52,2,4,1420,F,15
play_greedily,7,53,2,4,1415,R,15
play_greedily,7,54,3,4,1405,F,15
play_greedily,7,55,4,4,1395,F,15
play_greedily,7,56,4,4,1390,R,15
play_greedily,7,57,4,5,1380,F,15
play_greedily,7,58,4,6,1370,F,15
play_greedily,7,59,4,7,1360,F,15
